"Tumour","Tumours.ID","Crude.incidence.rate.per.100.000","n_orphan_designations","n_orphan_approvals","approval_rate","n_withdrawed","withdrawal_rate","total_publications","total_publications_od","n_trials","n_orphan_true","Research_score","Normalised_research_score","no_activity","research_group","rank","top_bottom_group","group"
"Squamous cell carcinoma with variants of trachea",87,"0,06492",0,0,"0",0,"0",1063,0,0,0,"0,06","0,24",FALSE,"Under-researched",121,NA,"Only published literature"
"Adenocarcinoma with variants of trachea",30,"0,01047",0,0,"0",0,"0",1199,0,0,0,"0,06","0,59",FALSE,"Under-researched",122,NA,"Only published literature"
"Adenosquamous carcinoma of lung",34,"0,29408",0,0,"0",0,"0",1207,0,10,0,"0,06","0,11",FALSE,"Under-researched",123,NA,"Published literature and clinical trials"
"Sarcomatoid carcinoma of lung",107,"0,20778",0,0,"0",0,"0",904,0,6,0,"0,06","0,13",FALSE,"Under-researched",124,NA,"Published literature and clinical trials"
"Squamous cell carcinoma of thymus",86,"0,00728",0,0,"0",0,"0",695,0,0,0,"0,06","0,7",FALSE,"Under-researched",125,NA,"Only published literature"
"Adenocarcinoma with variants of thymus",29,"0,00287",0,0,"0",0,"0",1583,0,0,0,"0,06","1,12",FALSE,"Under-researched",126,NA,"Only published literature"
"Mammary Paget’s disease of breast",50,"0,41415",0,0,"0",0,"0",724,0,1,0,"0,06","0,09",FALSE,"Under-researched",127,NA,"Published literature and clinical trials"
"Metaplastic carcinoma of breast",49,"0,1006",0,0,"0",0,"0",1407,0,3,0,"0,06","0,19",FALSE,"Under-researched",128,NA,"Published literature and clinical trials"
"Epithelial tumour of male breast",51,"1,05939",0,0,"0",0,"0",1473,0,1,0,"0,06","0,06",FALSE,"Under-researched",129,NA,"Published literature and clinical trials"
"Mullerian mixed tumour",179,"0,40062",0,0,"0",0,"0",1103,0,0,0,"0,06","0,09",FALSE,"Under-researched",130,NA,"Only published literature"
"Mucinous adenocarcinoma of ovary",22,"0,77022",0,0,"0",0,"0",1300,0,23,0,"0,06","0,07",FALSE,"Under-researched",131,NA,"Published literature and clinical trials"
"Clear cell adenocarcinoma of ovary",14,"0,3034",0,0,"0",0,"0",790,0,38,0,"0,06","0,11",FALSE,"Under-researched",132,NA,"Published literature and clinical trials"
"Sex cord tumours of ovary",140,"0,12805",0,0,"0",0,"0",907,0,0,0,"0,06","0,17",FALSE,"Under-researched",133,NA,"Only published literature"
"Adenocarcinoma with variants of vulva and vagina",32,"0,07149",0,0,"0",0,"0",1691,0,1,0,"0,06","0,22",FALSE,"Moderately-researched",134,NA,"Published literature and clinical trials"
"Basal cell adenocarcinoma of prostate",10,"0,00779",0,0,"0",0,"0",724,0,0,0,"0,06","0,68",FALSE,"Moderately-researched",135,NA,"Only published literature"
"Non seminomatous testicular cancer",56,"1,26614",0,0,"0",0,"0",1027,0,3,0,"0,06","0,05",FALSE,"Moderately-researched",136,NA,"Published literature and clinical trials"
"Teratoma with malignant transformation",173,"0,00128",0,0,"0",0,"0",1541,0,0,0,"0,06","1,68",FALSE,"Moderately-researched",137,NA,"Only published literature"
"Testicular sex cord cancer",55,"0,0217",0,0,"0",0,"0",626,0,6,0,"0,06","0,41",FALSE,"Moderately-researched",138,NA,"Published literature and clinical trials"
"Adenocarcinoma with variants of penis",28,"0,00562",0,0,"0",0,"0",761,0,0,0,"0,06","0,8",FALSE,"Moderately-researched",139,NA,"Only published literature"
"Transitional cell carcinoma of urethra",90,"0,08873",0,0,"0",0,"0",749,0,0,0,"0,06","0,2",FALSE,"Moderately-researched",140,NA,"Only published literature"
"Adenocarcinoma with variants of urethra",31,"0,01213",0,0,"0",0,"0",877,0,0,0,"0,06","0,54",FALSE,"Moderately-researched",141,NA,"Only published literature"
"Squamous cell carcinoma with variants middle ear",65,"0,02407",0,0,"0",0,"0",1548,0,0,0,"0,06","0,39",FALSE,"Moderately-researched",142,NA,"Only published literature"
"Adenocarcinoma with variants of middle ear",16,"0,00319",0,0,"0",0,"0",830,0,0,0,"0,06","1,06",FALSE,"Moderately-researched",143,NA,"Only published literature"
"Adnexal carcinoma of skin",36,"0,299",0,0,"0",0,"0",1572,0,2,0,"0,06","0,11",FALSE,"Moderately-researched",144,NA,"Published literature and clinical trials"
